chr	strand	exonStart	exonEnd	firstFlankingES	firstFlankingEE	secondFlankingES	secondFlankingEE
chr2	-	84624269	84624558	84622010	84622082	84650405	84650510
chr11	+	28916849	28916969	28915660	28915780	28921402	28921526
chr11	+	94113262	94113301	94112032	94112146	94114172	94114349
chr9	+	59313039	59313236	59310227	59310348	59313752	59313851
chr11	+	51273077	51273168	51271799	51272022	51273559	51273626
chr6	+	117907148	117907208	117906789	117906839	117917469	117917598
chr11	+	59772151	59772217	59771616	59771702	59775515	59776223
chr2	+	180031793	180031871	180031360	180031528	180032060	180032222
chr3	-	132914372	132914465	132909895	132910015	132917460	132917553
chr16	+	23109119	23109259	23108718	23108851	23109984	23110153
chr5	-	23966133	23966431	23964480	23965358	23979487	23979647
chr3	-	84529190	84529265	84527685	84527798	84534586	84534695
chr3	+	89422177	89422345	89418613	89418709	89422925	89422996
chr17	-	64297723	64297909	64292838	64293024	64308621	64309666
chr6	+	91259629	91259770	91257724	91257826	91263338	91263473
chr14	+	7922674	7922746	7919109	7919357	7923454	7923557
chr7	+	90194272	90194296	90191653	90191753	90195654	90195714
chr5	+	64283966	64284125	64281764	64282045	64285944	64286084
chr14	+	47726470	47726554	47726225	47726309	47730339	47730423
chr2	-	84624269	84624449	84622010	84622082	84650405	84650745
chr7	-	65314092	65314332	65312554	65313424	65314658	65315009
chr15	+	93452116	93452173	93441500	93441712	93455450	93455530
chr19	-	40369689	40369719	40364993	40365166	40373475	40373617
chr9	+	59562295	59562368	59561942	59562026	59562866	59563050
chr6	+	147016860	147016893	147016221	147016393	147019033	147019181
chr2	+	71853533	71853663	71849380	71849506	71855853	71856758
chr1	+	91103246	91103318	91101184	91101310	91105126	91105297
chr3	-	84529169	84529265	84527685	84527798	84534586	84534695
chr9	+	92601984	92602047	92600740	92600882	92602947	92603061
chr10	+	79816791	79816923	79815184	79815241	79819040	79820896
chr11	-	104342858	104343047	104342362	104342511	104343490	104343673
chr9	+	118537241	118537325	118536758	118536943	118538876	118539024
chr3	+	126841484	126841573	126840136	126840365	126842757	126844912
chr5	+	72965803	72965881	72958148	72958286	72974530	72974846
chr2	+	156524880	156525288	156514027	156514210	156526888	156526993
chr1	+	82747082	82747142	82735415	82735507	82750519	82750604
chr9	+	75196125	75196200	75193938	75194137	75197642	75197736
chr2	+	156778518	156778728	156775419	156775506	156780481	156780534
chr11	+	5867097	5867151	5866919	5867000	5867639	5867749
