ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2504	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037315	161036819	161036852	161037287	161037315	2504	291,242,279	123,124,130	182,158,146	25,25,23	535	100	3.55049323275e-13	8.12352851653e-10	0.307,0.267,0.286	0.576,0.542,0.543	-0.267
2506	"ENSMUSG00000053332"	"Gas5"	chr1	+	161038224	161038539	161038224	161038272	161038456	161038539	2506	81,60,51	268,330,261	72,78,66	142,174,129	284	100	3.81393410187e-08	4.36314061254e-05	0.096,0.06,0.064	0.151,0.136,0.153	-0.073
2501	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037315	161036819	161037164	161037287	161037315	2501	88,79,85	104,127,102	65,52,49	31,24,32	223	100	2.66497793611e-07	0.000203248983927	0.275,0.218,0.272	0.485,0.493,0.407	-0.207
2509	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035751	161036014	161035751	161035804	161035982	161036014	2509	106,86,105	465,495,525	48,55,42	110,124,110	278	100	4.79076618598e-07	0.000274031825838	0.076,0.059,0.067	0.136,0.138,0.121	-0.064
2286	"ENSMUSG00000073433"	"Arhgdig"	chr17	-	26199751	26200370	26199751	26199828	26200190	26200370	2286	30,22,7	1,3,3	8,15,14	0,0,0	462	100	4.03895113821e-06	0.00184822404084	0.867,0.613,0.336	1.0,1.0,1.0	-0.395
1253	"ENSMUSG00000028948"	"Nol9"	chr4	+	152045694	152046644	152045694	152045830	152046546	152046644	1253	38,38,40	4,4,5	37,52,37	0,2,0	816	100	9.84932084969e-06	0.00375587435068	0.538,0.538,0.495	1.0,0.761,1.0	-0.397
981	"ENSMUSG00000034796"	"Cpne7"	chr8	+	123126632	123127439	123126632	123126734	123127352	123127439	981	27,11,24	2,4,3	13,20,7	0,0,1	718	100	4.28171892887e-05	0.0139951041561	0.653,0.277,0.527	1.0,1.0,0.494	-0.346
1305	"ENSMUSG00000027514"	"Zbp1"	chr2	-	173210535	173212266	173210535	173210733	173212098	173212266	1305	22,6,13	12,2,1	24,16,23	0,1,1	1465	100	4.89494688161e-05	0.0139995480814	0.111,0.17,0.47	1.0,0.522,0.611	-0.461
1755	"ENSMUSG00000073422"	"H2-Ke6"	chr17	-	34026850	34027101	34026850	34026935	34027015	34027101	1755	126,109,107	263,300,242	65,72,89	286,303,279	180	100	0.000106673624151	0.0220231312848	0.21,0.168,0.197	0.112,0.117,0.151	0.065
1831	"ENSMUSG00000031167"	"Rbm3"	chrX	-	8143847	8144679	8143847	8143947	8144572	8144679	1831	1002,992,1031	394,365,346	909,970,931	486,473,525	725	100	9.60898447723e-05	0.0220231312848	0.26,0.273,0.291	0.205,0.22,0.197	0.067
1861	"ENSMUSG00000003068"	"Stk11"	chr10	+	80126032	80126369	80126032	80126165	80126232	80126369	1861	47,44,60	327,375,354	44,25,18	422,358,345	167	100	9.79671795275e-05	0.0220231312848	0.079,0.066,0.092	0.059,0.04,0.03	0.036
2507	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036819	161037164	161036819	161036852	161037123	161037164	2507	230,187,217	136,137,150	129,113,104	31,31,50	371	100	0.000131573856731	0.0220231312848	0.313,0.269,0.281	0.529,0.496,0.359	-0.174
433	"ENSMUSG00000046295"	"Ankle1"	chr8	+	71406678	71407749	71406678	71406784	71406861	71407749	433	3,2,2	0,0,1	1,1,2	1,2,1	177	100	0.000134756922197	0.0220231312848	1.0,1.0,0.531	0.361,0.22,0.531	0.473
551	"ENSMUSG00000021461"	"Fancc"	chr13	-	63330538	63331893	63330538	63330620	63331840	63331893	551	38,36,39	10,14,17	4,12,8	9,9,10	1320	100	0.000128426666695	0.0220231312848	0.224,0.163,0.148	0.033,0.092,0.057	0.118
1322	"ENSMUSG00000037447"	"Arid5a"	chr1	+	36317203	36317662	36317203	36317324	36317609	36317662	1322	17,12,6	41,28,35	13,19,17	15,15,19	385	100	0.000168303234127	0.0240673624802	0.097,0.1,0.043	0.184,0.248,0.189	-0.127
372	"ENSMUSG00000004896"	"Rrnad1"	chr3	-	87924343	87925431	87924343	87924528	87924946	87925431	372	248,265,263	15,7,11	206,227,215	19,26,21	518	100	0.000164631367675	0.0240673624802	0.761,0.88,0.822	0.677,0.628,0.664	0.165
2511	"ENSMUSG00000053332"	"Gas5"	chr1	+	161036207	161036579	161036207	161036244	161036548	161036579	2511	291,292,337	356,348,386	113,171,125	100,76,95	404	100	0.000216164949527	0.0290932590893	0.168,0.172,0.178	0.219,0.358,0.246	-0.102
2230	"ENSMUSG00000036046"	"5031439G07Rik"	chr15	-	84950611	84953321	84950611	84950774	84953129	84953321	2230	1962,1854,1925	394,431,412	1602,1527,1631	474,465,491	2455	100	0.000334461044929	0.0425137150443	0.169,0.149,0.16	0.121,0.118,0.119	0.04
1168	"ENSMUSG00000030834"	"Abcc6"	chr7	-	45998649	45999129	45998649	45998826	45999002	45999129	1168	11,1,6	2,1,2	4,8,2	0,0,0	276	100	0.000389859998612	0.0469473514118	0.666,0.266,0.521	1.0,1.0,1.0	-0.516
1792	"ENSMUSG00000027671"	"Actl6a"	chr3	+	32720185	32720515	32720185	32720300	32720434	32720515	1792	5,11,4	61,88,83	17,18,15	81,86,68	234	100	0.000651071312289	0.0709357696437	0.034,0.051,0.02	0.082,0.082,0.086	-0.048
2426	"ENSMUSG00000029208"	"Guf1"	chr5	+	69556954	69558296	69556954	69557165	69558184	69558296	2426	20,30,25	21,26,29	17,18,17	51,29,42	1119	100	0.000635580878337	0.0709357696437	0.078,0.093,0.072	0.029,0.053,0.035	0.042
1252	"ENSMUSG00000017686"	"Rhot1"	chr11	+	80242020	80242681	80242020	80242119	80242572	80242681	1252	39,33,34	142,132,130	13,19,19	119,126,124	553	100	0.00089635850452	0.0790139444629	0.047,0.043,0.045	0.019,0.027,0.027	0.021
1957	"ENSMUSG00000044252"	"Osbpl1a"	chr18	-	12755327	12756307	12755327	12756095	12756187	12756307	1957	468,458,496	38,44,53	405,435,394	20,24,23	192	100	0.000902917826206	0.0790139444629	0.865,0.844,0.83	0.913,0.904,0.899	-0.059
1975	"ENSMUSG00000073434"	"Wdr90"	chr17	-	25860371	25860817	25860371	25860542	25860654	25860817	1975	13,2,6	4,2,1	20,22,22	2,1,0	212	100	0.000944909641529	0.0790139444629	0.605,0.321,0.739	0.825,0.912,1.0	-0.357
2334	"ENSMUSG00000004952"	"Rasa4"	chr5	+	136104515	136105739	136104515	136104653	136105603	136105739	2334	18,28,26	21,33,30	12,11,10	29,25,36	1050	100	0.00100148793244	0.0790139444629	0.075,0.075,0.076	0.038,0.04,0.026	0.041
2381	"ENSMUSG00000019312"	"Grb7"	chr11	+	98453180	98453593	98453180	98453291	98453494	98453593	2381	4,7,3	53,46,41	3,12,21	47,37,38	303	100	0.000973689577653	0.0790139444629	0.024,0.048,0.024	0.021,0.097,0.154	-0.059
575	"ENSMUSG00000023393"	"Slc17a9"	chr2	+	180731879	180732572	180731879	180732077	180732432	180732572	575	4,9,0	2,1,2	6,7,6	2,0,0	455	100	0.000900632758146	0.0790139444629	0.305,0.664,0.0	0.397,1.0,1.0	-0.476
