ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
855	"ENSMUSG00000023904"	"Hcfc1r1"	chr17	+	23674534	23674675	23674546	23674675	23673968	23674068	855	543,504,551	127,110,137	378,342,404	283,252,249	112	100	0.0	0.0	0.792,0.804,0.782	0.544,0.548,0.592	0.231
2367	"ENSMUSG00000005611"	"Mrvi1"	chr7	-	110929477	110929578	110929477	110929562	110945832	110945981	2367	2,1,3	3,4,1	9,6,5	0,1,0	116	100	1.0621327573e-06	0.00145724614302	0.365,0.177,0.721	1.0,0.838,1.0	-0.525
2169	"ENSMUSG00000034758"	"Tle6"	chr10	-	81595322	81595405	81595322	81595375	81595479	81595555	2169	15,12,12	5,7,6	16,16,5	1,1,0	130	100	1.90262447697e-06	0.00174026718827	0.698,0.569,0.606	0.925,0.925,1.0	-0.326
301	"ENSMUSG00000032336"	"Nptn"	chr9	+	58650496	58650518	58650508	58650518	58643528	58643802	301	397,374,458	401,383,376	454,418,432	282,246,239	112	100	2.9003641363e-06	0.0019896497975	0.469,0.466,0.521	0.59,0.603,0.617	-0.118
1180	"ENSMUSG00000030929"	"Eri2"	chr7	-	119792264	119792348	119792264	119792343	119792430	119792498	1180	16,13,4	1,5,4	3,5,8	0,0,0	105	100	7.98160478532e-06	0.00312878907585	0.938,0.712,0.488	1.0,1.0,1.0	-0.287
1977	"ENSMUSG00000031825"	"Crispld2"	chr8	+	120023564	120023702	120023567	120023702	120018852	120018953	1977	3,4,0	8,6,3	3,5,1	0,2,0	103	100	7.3608283907e-06	0.00312878907585	0.267,0.393,0.0	1.0,0.708,1.0	-0.683
205	"ENSMUSG00000039307"	"Hexdc"	chr11	+	121220863	121221161	121221082	121221161	121219840	121219923	205	150,203,199	9,16,15	166,183,206	3,4,3	319	100	6.61515645639e-06	0.00312878907585	0.839,0.799,0.806	0.945,0.935,0.956	-0.131
990	"ENSMUSG00000053119"	"Chmp3"	chr6	+	71558974	71559128	71559013	71559128	71552398	71552459	990	15,13,17	4,5,4	21,11,14	1,0,1	139	100	2.38642903612e-05	0.00818545159389	0.73,0.652,0.754	0.938,1.0,0.91	-0.237
684	"ENSMUSG00000027550"	"Lrrcc1"	chr3	+	14551171	14551527	14551387	14551527	14550250	14550455	684	9,8,16	17,18,25	2,4,5	18,36,34	316	100	2.75655080242e-05	0.00840441711316	0.143,0.123,0.168	0.034,0.034,0.044	0.107
1236	"ENSMUSG00000024013"	"Fgd2"	chr17	+	29368122	29368330	29368183	29368330	29367920	29367979	1236	4,4,4	18,5,10	1,1,0	18,18,4	161	100	7.53966547157e-05	0.020688842054	0.121,0.332,0.199	0.033,0.033,0.0	0.195
