ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1197	"AT3G19860"	"BHLH121"	chr3	+	6903756	6904068	6903756	6903989	6904567	6904675	1197	4,9	77,43	116	3	128	49	0.0	0.0	0.019,0.074	0.937	-0.891
128	"AT3G57470"	NA	chr3	-	21275499	21275667	21275591	21275667	21275337	21275405	128	5,7	38,34	76	2	141	49	0.0	0.0	0.044,0.067	0.93	-0.875
652	"AT5G46800"	"BOU"	chr5	-	18990270	18990867	18990494	18990867	18989418	18989812	652	2,7	239,259	400	320	273	49	0.0	0.0	0.001,0.005	0.183	-0.18
1238	"AT1G22840"	"CYTC-1"	chr1	+	8079974	8080112	8079974	8080108	8080187	8080574	1238	0,28	665,637	54	358	53	49	5.35127497869e-14	1.20403687021e-11	0.0,0.039	0.122	-0.102
1394	"AT5G54430"	"ATPHOS32"	chr5	-	22097790	22099851	22098972	22099851	22097518	22097570	1394	1445,1730	339,285	1252	666	1231	49	8.26450019531e-13	1.39388500742e-10	0.145,0.195	0.07	0.1
763	"AT5G17560"	"BOLA4"	chr5	+	5789132	5789419	5789132	5789200	5789529	5789964	763	39,48	36,21	17	119	268	49	9.29256671611e-13	1.39388500742e-10	0.165,0.295	0.025	0.205
556	"AT5G10940"	NA	chr5	-	3452075	3452190	3452084	3452190	3451435	3451575	556	39,64	0,2	6	12	58	49	1.33526523172e-12	1.71676958364e-10	1.0,0.964	0.297	0.685
855	"AT2G32320"	"THG2"	chr2	+	13729098	13729242	13729098	13729206	13729566	13729823	855	2,9	0,0	0	8	85	49	1.01434416422e-11	1.14113718475e-09	1.0,1.0	0.0	1.0
1110	"AT2G39440"	NA	chr2	-	16469316	16469628	16469496	16469628	16468974	16469147	1110	16,12	2,1	8	40	229	49	5.85944626152e-11	5.85944626152e-09	0.631,0.72	0.041	0.634
495	"AT1G23820"	"SPDSYN1"	chr1	+	8422167	8422367	8422167	8422363	8422447	8422571	495	14,70	591,515	75	257	53	49	8.11322453664e-10	7.30190208298e-08	0.021,0.112	0.212	-0.145
446	"AT1G18730"	"PNSB4"	chr1	+	6461317	6461910	6461317	6461389	6461993	6462224	446	61,89	90,75	223	68	570	49	1.20326149045e-09	9.84486674005e-08	0.055,0.093	0.22	-0.146
1403	"AT1G73390"	NA	chr1	-	27594740	27595197	27594961	27595197	27594494	27594551	1403	0,0	3,3	10	0	270	49	1.31437671858e-09	9.85782538935e-08	0.0,0.0	1.0	-1.0
1254	"AT1G74750"	NA	chr1	+	28085752	28086692	28085752	28085970	28086796	28089642	1254	14,13	0,0	13	5	771	49	4.32732571998e-09	2.99584088306e-07	1.0,1.0	0.142	0.858
1090	"AT5G08750"	NA	chr5	+	2851813	2852641	2851813	2852192	2852865	2853962	1090	1,2	22,12	34	20	498	49	5.4376776415e-09	3.47647970411e-07	0.004,0.016	0.143	-0.133
406	"AT1G34010"	NA	chr1	-	12361090	12361313	12361112	12361313	12360359	12360900	406	22,34	0,0	54	20	71	49	5.79413284019e-09	3.47647970411e-07	1.0,1.0	0.651	0.349
755	"AT4G15930"	NA	chr4	+	9036912	9037390	9036912	9037018	9037742	9038075	755	20,52	40,38	103	20	421	49	1.07957399686e-08	6.07260373234e-07	0.055,0.137	0.375	-0.279
308	"AT3G12200"	"Nek7"	chr3	-	3889761	3890119	3890052	3890119	3889575	3889641	308	2,9	90,86	27	49	340	49	1.67120083328e-08	8.84753382325e-07	0.003,0.015	0.074	-0.065
398	"AT4G20350"	NA	chr4	+	10988717	10988760	10988717	10988756	10988855	10988968	398	2,1	0,0	1	9	53	49	1.94927153307e-08	9.74635766535e-07	1.0,1.0	0.093	0.907
462	"AT2G22260"	NA	chr2	+	9460917	9461194	9460917	9461149	9461304	9461386	462	0,1	2,2	3	0	94	49	2.29758193582e-08	1.08832828539e-06	0.0,0.207	1.0	-0.896
1421	"AT3G49430"	"SR34A"	chr3	+	18332247	18332492	18332247	18332471	18332641	18332754	1421	1,5	34,25	6	0	70	49	2.43653076604e-08	1.09643884472e-06	0.02,0.123	1.0	-0.928
935	"AT4G14160"	NA	chr4	+	8170469	8170554	8170469	8170551	8171298	8171376	935	0,0	48,29	9	19	52	49	5.11031520434e-08	2.19013508757e-06	0.0,0.0	0.309	-0.309
1528	"AT2G28910"	"CXIP4"	chr2	-	12417125	12417615	12417284	12417615	12415667	12417023	1528	65,108	583,595	63	131	208	49	5.35617322717e-08	2.19116177475e-06	0.026,0.041	0.102	-0.068
1501	"AT4G02430"	"SR34b"	chr4	+	1069174	1069523	1069174	1069272	1069665	1069740	1501	63,83	17,20	61	0	300	49	8.28722048762e-08	3.2428254082e-06	0.377,0.404	1.0	-0.609
660	"AT4G35940"	NA	chr4	+	17022202	17022626	17022202	17022569	17022788	17022911	660	10,17	8,8	40	0	106	49	8.88516435982e-08	3.33193663493e-06	0.366,0.496	1.0	-0.569
808	"AT4G17310"	NA	chr4	-	9685665	9686024	9685902	9686024	9685185	9685454	808	15,25	0,0	25	7	286	49	9.51770975366e-08	3.42637551132e-06	1.0,1.0	0.38	0.62
1354	"AT1G49600"	"ATRBP47A"	chr1	-	18357544	18358064	18357970	18358064	18356805	18357364	1354	14,183	189,49	213	47	475	49	1.03381746497e-07	3.5785989172e-06	0.008,0.278	0.319	-0.176
1181	"AT5G65685"	NA	chr5	-	26275328	26275514	26275480	26275514	26275107	26275236	1181	46,49	1,0	40	11	201	49	1.15225875508e-07	3.84086251693e-06	0.918,1.0	0.47	0.489
776	"AT5G04980"	"IP5P10"	chr5	-	1470656	1471071	1470828	1471071	1470453	1470541	776	3,5	0,0	1	3	221	49	1.2900909907e-07	4.14672104154e-06	1.0,1.0	0.069	0.931
1223	"AT5G43320"	"CKL8"	chr5	-	17386657	17386986	17386922	17386986	17386424	17386576	1223	3,4	40,22	49	60	314	49	1.42715091855e-07	4.42908905757e-06	0.012,0.028	0.113	-0.093
1333	"AT5G22300"	"NIT4"	chr5	+	7379644	7380727	7379644	7379824	7380854	7381148	1333	30,53	0,1	40	15	952	49	1.68905283759e-07	5.06715851277e-06	1.0,0.732	0.121	0.745
350	"AT1G23970"	NA	chr1	-	8483090	8483304	8483105	8483304	8482758	8483009	350	18,20	0,0	7	6	64	49	2.11353707424e-07	6.13607537683e-06	1.0,1.0	0.472	0.528
348	"AT5G15510"	NA	chr5	+	5036175	5036281	5036175	5036270	5036478	5036824	348	0,0	8,2	7	3	60	49	2.59822637516e-07	7.30751168014e-06	0.0,0.0	0.656	-0.656
953	"AT2G42830"	"SHP2"	chr2	+	17823336	17823384	17823336	17823378	17823488	17823530	953	3,5	0,0	5	8	55	49	2.70631097421e-07	7.38084811148e-06	1.0,1.0	0.358	0.642
1361	"AT5G56240"	NA	chr5	-	22764253	22764587	22764412	22764587	22763414	22763649	1361	1,2	7,4	8	0	208	49	2.98439735147e-07	7.74176458083e-06	0.033,0.105	1.0	-0.931
149	"AT2G31960"	"CALS2"	chr2	+	13588521	13589270	13588521	13588910	13589517	13589731	149	2,4	0,0	26	6	409	49	3.01068622588e-07	7.74176458083e-06	1.0,1.0	0.342	0.658
1564	"AT2G02080"	"IDD4"	chr2	-	521432	521707	521618	521707	520976	521205	1564	6,3	0,0	6	4	235	49	3.58792469402e-07	8.96981173505e-06	1.0,1.0	0.238	0.762
1433	"AT4G17000"	NA	chr4	-	9567525	9567690	9567564	9567690	9567399	9567485	1433	0,9	25,12	7	0	88	49	6.13412261652e-07	1.49208387969e-05	0.0,0.295	1.0	-0.853
47	"AT5G61960"	"ML1"	chr5	-	24884059	24884174	24884152	24884174	24883405	24883955	47	0,1	5,2	1	0	142	49	7.37201052314e-07	1.74600249232e-05	0.0,0.147	1.0	-0.926
576	"AT4G31480"	NA	chr4	+	15263153	15263833	15263153	15263338	15264133	15266190	576	6,21	122,119	30	52	544	49	8.32190777178e-07	1.92044025503e-05	0.004,0.016	0.049	-0.039
378	"AT1G63770"	NA	chr1	-	23658411	23658526	23658415	23658526	23658215	23658332	378	17,20	261,272	35	124	53	49	9.64470242115e-07	2.17005804476e-05	0.057,0.064	0.207	-0.146
104	"AT2G02148"	NA	chr2	-	549519	549616	549531	549616	549139	549322	104	6,9	0,1	0	2	61	49	1.21055836844e-06	2.6573232478e-05	1.0,0.878	0.0	0.939
518	"AT1G79270"	"ECT8"	chr1	+	29815505	29816515	29815505	29815873	29816606	29816677	518	5,6	0,0	29	4	691	49	1.26276095747e-06	2.70591633744e-05	1.0,1.0	0.34	0.66
516	"AT1G79270"	"ECT8"	chr1	+	29815505	29816510	29815505	29815873	29816606	29816677	516	5,6	0,0	29	4	686	49	1.2991539432e-06	2.719159416e-05	1.0,1.0	0.341	0.659
1070	"AT2G14520"	"CBSDUF3"	chr2	-	6182844	6182969	6182862	6182969	6182501	6182761	1070	20,13	11,6	30	0	67	49	1.75483674314e-06	3.54319812112e-05	0.571,0.613	1.0	-0.408
114	"AT5G59480"	NA	chr5	-	23981278	23981590	23981422	23981590	23981095	23981174	114	15,18	12,5	19	94	193	49	1.77159906056e-06	3.54319812112e-05	0.241,0.478	0.049	0.31
312	"AT5G46110"	"APE2"	chr5	+	18697234	18697890	18697234	18697883	18697957	18698023	312	3,11	467,458	31	442	56	49	2.04807296533e-06	4.00709927999e-05	0.006,0.021	0.058	-0.044
491	"AT1G04170"	"EIF2	chr1	+	1096881	1097286	1096881	1097120	1097398	1097531	491	1,20	166,137	28	84	215	49	2.24309811014e-06	4.29529425346e-05	0.001,0.032	0.071	-0.054
118	"AT1G50300"	"TAF15"	chr1	-	18631541	18631700	18631557	18631700	18631118	18631447	118	0,0	5,3	12	11	65	49	2.29234771931e-06	4.29815197371e-05	0.0,0.0	0.451	-0.451
1527	"AT1G45248"	NA	chr1	-	17164615	17164779	17164670	17164779	17164196	17164250	1527	0,0	8,9	2	0	104	49	2.6908629428e-06	4.94240132351e-05	0.0,0.0	1.0	-1.0
214	"AT1G48180"	NA	chr1	-	17792847	17793242	17792862	17793242	17792342	17792773	214	1,5	0,0	2	4	64	49	2.91034550892e-06	5.23862191606e-05	1.0,1.0	0.277	0.723
1526	"AT4G10360"	NA	chr4	+	6420283	6420549	6420283	6420509	6420635	6420768	1526	1,7	0,0	13	7	89	49	3.01985664586e-06	5.32915878681e-05	1.0,1.0	0.506	0.494
962	"AT1G76050"	NA	chr1	+	28541812	28542034	28541812	28542015	28542153	28542232	962	0,0	8,10	5	3	68	49	3.36084927366e-06	5.8168545121e-05	0.0,0.0	0.546	-0.546
1338	"AT5G45410"	NA	chr5	-	18403494	18403947	18403741	18403947	18403168	18403303	1338	5,11	0,0	55	12	296	49	3.68171836018e-06	6.23814625012e-05	1.0,1.0	0.431	0.569
577	"AT4G31480"	NA	chr4	+	15263153	15263909	15263153	15263338	15264133	15266190	577	10,26	122,119	33	52	620	49	3.74288775007e-06	6.23814625012e-05	0.006,0.017	0.048	-0.037
1339	"AT5G45410"	NA	chr5	-	18403511	18403947	18403741	18403947	18403168	18403303	1339	5,11	0,0	54	12	279	49	3.82833717394e-06	6.26455173917e-05	1.0,1.0	0.441	0.559
492	"AT4G14880"	"OASA1"	chr4	-	8520136	8520596	8520331	8520596	8520017	8520063	492	19,30	171,137	70	146	244	49	4.09107689259e-06	6.57494500595e-05	0.022,0.042	0.088	-0.056
1101	"AT5G04550"	NA	chr5	-	1305672	1306145	1305924	1306145	1303166	1305567	1101	8,16	4,10	1	17	301	49	4.73969186532e-06	7.38311645028e-05	0.246,0.207	0.009	0.217
1537	"AT3G20070"	"TTN9"	chr3	-	7006705	7006941	7006733	7006941	7006577	7006635	1537	17,21	14,8	23	0	77	49	4.75800837907e-06	7.38311645028e-05	0.436,0.626	1.0	-0.469
